emotion|text
disgust|Democrats look beyond symbolic vote on Iraq
disgust|Portugal to vote on abortion laws
disgust|Frustration rises as North Korea nuclear talks stall
surprise|Horse teeth give details of ancient big chill
surprise|Scam lures victims with free puppy offer
fear|Two Koreas to resume talks
surprise|Mickelson driving force at masters
sadness|England opt for Bopara over Loye
fear|Create own 'Thrillville' for a wild ride
disgust|Edwards' campaign blogger quits amid Catholic controversy
disgust|Judge: Preserve Anna Nicole's body
joy|Dolphins, sea lions may report for duty soon
joy|Nasdaq-LSE battle nears deadline
joy|A personal plea for HPV vaccine plan
joy|U.S. opens door for Iraqi refugees
sadness|Swiss plane crashes at Moscow airport
joy|Study: napping might help heart
joy|MySpace sales surging
sadness|Telecoms giant slashes 12,500 jobs
joy|Air France KLM profit rises
anger|Uganda parliament votes to send troops to Somalia
joy|King and queen reign at British film awards
sadness|Murphys rule box office with 'Norbit'
disgust|Thousands rally in Lebanon
joy|Yahoo's mission quest
joy|Area should get 3-5 inches of snow today
fear|Miss Brazil wins lawsuit competition
sadness|Snow wreaks havoc in East, Midwest
disgust|The secrets people reveal
surprise|Research supports medicinal marijuana
joy|All African amputee football games kick off
anger|Group: Video shows chopper go down
joy|Sale of Chrysler possible
surprise|Russia condemns terrorist acts on buses outside Beirut
joy|Technology may save India's river dolphins
joy|Airbus A380 superjumbo takes off
joy|Naps are great for chaps
joy|Female astronaut sets record
surprise|Corn stoves popping up in U.S. homes
sadness|Iraq closes borders with Syria and Iran
sadness|The troubling ending of 'The Departed'
surprise|Vietnamese bank plans IPO listing
sadness|Toyota's Scion parks in Second Life
joy|Obama will run in 2008
joy|'Cagney & Lacey' finally coming to DVD
fear|Merkel: Stop Iran
sadness|Salt Lake City mall shooter was teenager
joy|Female astronaut sets record
anger|Oil holds at $58
joy|Obama announces presidential bid
joy|Tell your boss: Naps are good for you
anger|Serbia rejects United Nation's Kosovo plan
anger|Amish discuss shootings
joy|Jail me, I ate Ivory Coast chocolate
surprise|Can North Korea be trusted?
sadness|Tourism lags in Bush's hometown
anger|Astronaut's arrest tests NASA's mettle
fear|Man gets second chance at space ride
surprise|Go ahead, take a nap, science says
sadness|Weekly Nielsen will 'Lost' find its way back?
anger|Brith Airways baggage charges cause confusion
sadness|Indonesian with bird flu dies
joy|St. Louis poised for entertainment upswing
fear|New York City may ban iPods while crossing street
fear|Boy allegedly told to kill by mom gives up
sadness|Gray wolves off endangered list
joy|Vista's hyped security will be tested
fear|UK police slammed over terror raid
joy|Mogadishu residents flee blasts
sadness|Bomb kills 18 on military bus in Iran
joy|'WarioWare,' Wii make perfect fit
surprise|U.S. at odds with cleric's aide
sadness|Desperate Iraqi mother relies on militia for help
anger|Full details of the EU report on Iran
surprise|Singer on Cowell: Glad he was mean
surprise|Jones faces Europe meetings snub
joy|Beckham goal helps Real snatch win
fear|Guinea: Plan offices close as country declares emergency
joy|Japan's economy grows
fear|United Nations peacekeepers raid Haitian slum
joy|Work starts on Arctic seed vault
joy|Social networking goes mobile
joy|Beauticians cut, curl, offer stroke-prevention info
fear|Siesta cuts risk of heart disease death, study finds
joy|Thomas Cook to merge with MyTravel
joy|Nap your way to a successful career
sadness|Village buried by 100 inches of snow
joy|Oprah announces new book club pick
surprise|The science of love ... and lust
sadness|Northeaster cancels flights, shuts schools
joy|Napping may be good for your heart
sadness|Ryan O'Neal injured son's girlfriend
sadness|Chrysler's Valentine's Day massacre
fear|Madrid bombings trial begins
disgust|Fight starts over HPV vaccine
joy|Autos drive European gains
sadness|James Brown's partner can get her things
sadness|Auto show canceled
surprise|UK luxury maker Burberry: 'Made in China'?
joy|On-the-job naps might cut heart risk
surprise|No. 1 Florida survives Rupp Arena, streak hits 16
joy|J.K. Rowling marks spot of 'Potter's' end
surprise|Gronholm takes a commanding lead
fear|Howard slams Obama on Iraq policy
fear|Manila hints at ransom approval
joy|Champion Murray too good for Kim
joy|G7: Yen skates by, yuan singled out
joy|Gunman 'was Srebrenica survivor'
fear|Cutting through the clutter to get things done
joy|Mother: Lohan is doing 'great' in rehab
joy|Who's going to win at the Grammys?
anger|Libby defense upsets judge, rests
sadness|Breakup rings find new homes
surprise|Gronholm ahead as Solberg crashes
disgust|'Norbit' a waste of Murphy
fear|Rocky start for Bangkok airport
surprise|12 dead in Lebanese minibus bombings
disgust|Sex torture claims hit Russia army
joy|Mega-marsupials once roamed Australia
fear|Rupert Murdoch's secret TiVo
sadness|UPDATE 1-Plane crashes at Moscow airport, no passengers
joy|HPV vaccination stirs heated debate in America
anger|Court TV: Accused killer tells jury a love story
fear|Whistle-blowing Web site exposed
joy|Start late, retire rich
surprise|Somali PM vows to bring Islamists to justice
joy|Swingers more common than most think
sadness|Anna Nicole Smith fans mourn in cyberspace
anger|Antibiotic Ketek more dangerous than thought
joy|Time to book your cruise
sadness|'Blazing Angels' for PS3 fails to soar
anger|North Korea aid demand stall talks
sadness|Cartoon Network head steps down
joy|Malaysia aggressively wooing tourists
fear|Anna Nicole Smith's Bahamas home seized
surprise|Andromeda involved in galactic collision
fear|Rwanda mulling 3-kid limit for families
joy|Wilkinson sets record in tame win
joy|Army engineers say dam safe
anger|France: Al Qaeda suspects arrested
disgust|Utah gunman survived Srebrenica
surprise|Creating a whole album in a month?
fear|India to test new nuclear missile
anger|G7 to China: Ease exchange rate grip
surprise|Hatton hands back IBF title again
sadness|Bernanke: Economy healthy, but...
surprise|Mickelson, Sutherland share lead
joy|Napping is good for your heart, study finds
sadness|Princess Masako author: No regrets
fear|Students use IM-lingo in essays
joy|Malaysia launches tourism campaign
fear|Study: Africa's Internet gap getting wider
disgust|Travel chaos as heavy snow hits UK
joy|Paula Abdul: 'I have never been drunk'
fear|Salmonella outbreak traced to peanut butter
fear|Putin: U.S. force fostering nuke ambitions
sadness|Nuke detectors to ring New York, official says
sadness|Double bus-bombing kills three in Lebanon
joy|Davydenko out as seeds scattered
joy|Obama: I'm running for president
surprise|Paterson boots Scotland to victory
surprise|African-Americans are organ donors these days, but what about bone marrow?
joy|Study: On-the-job naps might help heart
sadness|Guinea capital largely calm under curfew, marital law
surprise|Bosses sleeping on idea of letting workers take naps
disgust|Teacher's porn conviction sparks tech debate
joy|Singapore pampers its waterfront promenade
surprise|Rwanda mulls three-child limit
sadness|Samsung settles price-fixing lawsuit
fear|Radical cleric al-Sadr in Iran, U.S. insists
joy|Reports: Harvard set to name first female president
disgust|Iraq unveils new security plans
joy|University offers support to New Orleans school
surprise|Storm causes slick, icy roads
sadness|South Korea fire kills 10 foreigners
surprise|Prehistoric lovers found locked in eternal embrace
surprise|Charts: Is your city lean or lethargic?
sadness|Peru leader questioned in massacre probe
anger|U.S. commander: Iraq not hopeless
disgust|Australian PM stands by Obama attack
joy|Mardi Gras rebound in the offing for New Orleans?
joy|Siestas may cut heart disease risk
anger|Oregon snorkeler mistaken for rodent, shot in face
joy|Petraeus takes command in Iraq
sadness|6 dead after Utah Mall shooting rampage
sadness|Sharks kill four people in 'dull' year
joy|Record-shattering day on Wall St.
joy|Comedian says government silences critics
joy|Rockers big winners at Brit Awards
sadness|Samba school leader killed before Rio carnival
disgust|Taiwan's 'Mr. Clean' indicted, steps down
sadness|Woman fights to keep drunken driver in jail
fear|Al Qaeda group calls for attacks on U.S. oil
anger|Cousin: Gunman was Srebrenica survivor
joy|Turkmenistan votes for president
surprise|Here is some advice to take to heart...
joy|10 don't-miss tax breaks
anger|Police break up Kosovo protests
joy|Messi makes Barcelona squad return
sadness|Jump reported in accidental drug-overdose deaths
sadness|Catania punished for fan violence
joy|Isinbayeva sets 20th world record
disgust|Lawmakers blast FDA drug safety oversight
joy|Regular naps make hearts healthy
fear|Ice stops trolleys cold
disgust|U.S. gunman 'was Srebrenica survivor'
anger|Outdated baby food found on shelves
disgust|Tow truck drivers accused of stealing cars
anger|Bush: It's time for Congress to back energy plan
fear|UK soldiers cleared of Iraq abuse
sadness|FDA revises label warnings on the antibiotic Ketek
joy|Toshiba Portege R400
sadness|South Africa mourns Adelaide Tambo
anger|Evacuees can return home after plant blast
sadness|Anna Nicole Smith's body lies in legal limbo
anger|Former teacher poses for Playboy
disgust|France rejects Rwandan investigators
surprise|A nap a day may keep the heart doctor away
fear|Higley, Gonzalez lead in Malaysia
joy|Grammys ready to name winners
anger|Pound will not drop Armstrong case
surprise|Reunited Police to start world tour in May
joy|Turkmen acting leader sworn in as new president
surprise|Allen and Okur get All-Star call
surprise|Svindal claims are golden double
sadness|Trolley Square shooting leaves 6 dead, including gunman
anger|Bridge blast stops I-95 traffic
sadness|Mother, daughter stabbed near school
fear|Excerpt: Politicians and the press
joy|North Korea gets 'money and respect'
surprise|Beyonce in a bikini as SI's swimsuit cover model
surprise|Loving with all your ... brain
fear|Shoplifters' choice: Police or T-shirt of shame
surprise|Cuban official: Web a 'wild colt'
surprise|Slow 'Music and Lyrics'
fear|Mexican navy helps in hunt for U.S. engineer
joy|Smith baby may not be pot of gold
fear|Latest updates on world's top stories
sadness|Beating leaves teen in coma
joy|Tiempo Libre has Grammy dreams
surprise|GPS sneakers locate with press of a button
sadness|Embattled Edwards blogger quits campaign
fear|Britons deported from Somalia held under Terrorism Act
fear|Updates on world's top stories
sadness|Breast cancer drug promises hope
surprise|Ancient coin shows Cleopatra was no beauty
surprise|YouTube yields surprising payback
sadness|Up to 22 inches of snow in forecast
surprise|Werder make 10-man Ajax pay price
surprise|EU condemns 'illegal' CIA flights
surprise|Report links humans to global warming
disgust|UN nuclear watchdog slashes Iran aid
anger|Survey: Tech a tool in teen dating abuse
joy|The breast cancer breakthrough saving 1000 women a year
joy|Tourist spot resists gravity, but not progress
surprise|The NFL's 20 biggest potential free agents
joy|World tourism sets record in 2006
disgust|BA to charge $470 for an extra bag
joy|Kuerten returns to winners' circle
fear|World's oldest newspaper now exists only online
anger|Japanese whaler afire in Antarctic
fear|EU document: Iranian bomb unstoppable
fear|U.S. urged to lead on 'green' actions
disgust|See if your city is one of the United States' top 10 fittest or fattest
surprise|Lee in pre-World Cup injury scare
joy|New cancer drug to save a thousand lives a year
disgust|Ex-teacher guilty in nude-pictures scheme
anger|Fire extinguisher part of Tennessee execution kit
joy|Founder returns to Dell helm
joy|Charles Gibson takes over first place
disgust|Ex-Border Patrol agent beaten in prison
anger|'Made in China' irks some Burberry shoppers
surprise|Stonehenge workers' village found
joy|Who is Prince Frederic von Anhalt?
fear|Latest food-fad -- 'space potatoes'
anger|Ethiopia readies for millennium all its own
joy|Good news for slackers: Naps may cut risk for heart problems
fear|Snowbirds shortening their Florida stays
sadness|Win a (concert) date with the Police
joy|Snow begins, heavy accumulations expected
joy|Jet flips in snowstorm, none dead
surprise|Frantic 911 call in Ryan O'Neal case
surprise|Durant's success trumps the Gators
fear|Scientist snoops in astronauts' journals
joy|YouTube founders split $650M payout
joy|African nation hopes Whoopi can help
surprise|United hang on to six-point lead
fear|Lawyer seizes Smith's Bahamas home
disgust|Was Prince's super show too revealing?
fear|Clijsters looks for a long goodbye
surprise|Snow's too deep even for snowmobiles
joy|Study: Female seals picky about mates
anger|ROUNDUP: Protests erupt despite "state of siege" In Guinea
disgust|Study: More kids exposed to online porn
sadness|Beyonce new SI bikini cover girl
fear|Marijuana helps ease HIV nerve pain, study says
sadness|Serena misses Bangalore tournament
sadness|Dryer blamed for fire killing 39 cats, dogs
surprise|Roddick, Murray score in San Jose
sadness|Apple trademark dispute settled
fear|U.S. online love brokers eye China
anger|U.S. diverts troops to fight Taliban
sadness|'House of Cards' actor Ian Richardson dead
sadness|Taliban leader killed in airstrike
joy|Escape to Prague without the summer hordes
surprise|Kathmandu: First snow in 63 years
sadness|Nasdaq fails in bid for LSE
sadness|Ex-pastor gets death sentence
surprise|Baby born on turnpike after dad misses exit
surprise|Study links chimps and 'hammers'
disgust|UN-Google Earth map climate change
